symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct
2468.HK,6/20/2012,3:59pm,0,,0.63,0.0,+0.00%,0.0,+0.00%
2488.HK,6/9/2017,10:26am,23500,9.53 - 9.70,9.68,-0.02,-0.21%,-3.84,-28.40%
2588.HK,6/9/2017,11:09am,109500,39.30 - 39.60,39.45,-0.05,-0.13%,-3.85,-8.89%
2600.HK,6/9/2017,11:09am,5816000,3.61 - 3.72,3.62,-0.06,-1.63%,-0.83,-18.65%
2601.HK,6/9/2017,11:09am,5539000,30.90 - 32.10,31.65,0.2,+0.64%,-0.45,-1.40%
2607.HK,6/9/2017,11:09am,827749,23.05 - 23.50,23.15,-0.25,-1.07%,-0.35,-1.49%
2608.HK,6/5/2017,3:54pm,22000,3.23 - 3.30,3.25,0.01,+0.31%,-0.45,-12.16%
2611.HK,6/9/2017,11:08am,245400,15.86 - 15.92,15.9,0.04,+0.25%,-0.04,-0.25%
2623.HK,6/8/2017,3:21pm,42000,0.092 - 0.095,0.094,0.0,+0.000%,-0.286,-75.263%
2628.HK,6/9/2017,11:09am,10444690,25.40 - 25.70,25.65,0.25,+0.98%,-0.4,-1.54%
2633.HK,6/9/2017,11:06am,714000,1.74 - 1.76,1.74,-0.02,-1.14%,-0.13,-6.95%
2638.HK,6/9/2017,11:09am,1405000,7.18 - 7.22,7.2,-0.03,-0.41%,-1.08,-13.04%
2662.HK,6/9/2017,10:59am,170000,4.31 - 4.36,4.35,0.0,+0.00%,-0.01,-0.23%
2666.HK,6/9/2017,11:09am,1198000,6.58 - 6.65,6.58,-0.03,-0.45%,-1.25,-15.96%
2668.HK,6/9/2017,11:02am,180000,0.475 - 0.500,0.475,-0.005,-1.042%,-0.835,-63.740%
2669.HK,6/9/2017,11:06am,6702402,1.52 - 1.57,1.54,-0.03,-1.91%,-0.3,-16.30%
2678.HK,6/9/2017,11:09am,232500,9.50 - 9.65,9.51,-0.17,-1.76%,-3.35,-26.05%
2686.HK,6/9/2017,11:07am,11000,1.26 - 1.26,1.26,-0.01,-0.79%,-1.34,-51.54%
2688.HK,6/9/2017,11:09am,1919000,41.75 - 43.95,42.35,-1.45,-3.31%,-4.9,-10.37%
2689.HK,6/9/2017,11:09am,7810000,9.81 - 10.00,9.85,-0.07,-0.71%,-0.55,-5.29%
2698.HK,3/21/2017,3:59pm,691000,5.51 - 5.66,5.58,0.0,+0.00%,-1.36,-19.60%
2699.HK,6/9/2017,10:53am,440000,1.21 - 1.26,1.21,-0.06,-4.72%,-0.19,-13.57%
2700.HK,6/9/2017,11:04am,1840000,0.20 - 0.20,0.2,-0.0,-0.50%,-0.11,-35.48%
2722.HK,6/9/2017,11:08am,850000,1.02 - 1.04,1.03,0.01,+0.98%,-0.04,-3.74%
2727.HK,6/9/2017,11:08am,5330000,3.50 - 3.56,3.52,-0.04,-1.12%,-0.74,-17.37%
2728.HK,6/9/2017,10:31am,200000,1.03 - 1.03,1.03,0.0,+0.00%,-0.09,-8.04%
2738.HK,6/9/2017,9:44am,30000,2.89 - 2.91,2.89,-0.03,-1.03%,-0.16,-5.25%
2768.HK,6/9/2017,11:07am,1514000,3.76 - 3.87,3.83,0.08,+2.13%,-0.04,-1.03%
2777.HK,6/9/2017,11:09am,3295600,12.40 - 12.96,12.52,-0.34,-2.64%,-1.46,-10.44%
2788.HK,6/9/2017,10:49am,12002,1.27 - 1.27,1.27,0.0,+0.00%,-0.02,-1.55%
2789.HK,6/9/2017,10:45am,240000,0.168 - 0.172,0.169,0.001,+0.595%,-0.111,-39.643%
2799.HK,6/9/2017,11:06am,1039000,3.21 - 3.24,3.21,-0.01,-0.31%,-0.24,-6.96%
2866.HK,6/9/2017,11:07am,4032000,1.69 - 1.72,1.7,0.0,+0.00%,-0.2,-10.53%
2868.HK,6/9/2017,11:01am,1290000,3.63 - 3.72,3.64,-0.07,-1.89%,-0.38,-9.45%
2869.HK,6/9/2017,11:09am,9242000,4.02 - 4.29,4.2,0.19,+4.74%,-0.16,-3.67%
2877.HK,6/9/2017,11:09am,206000,8.09 - 8.15,8.12,0.07,+0.87%,-1.74,-17.65%
2878.HK,6/9/2017,11:06am,2286000,0.370 - 0.380,0.375,-0.005,-1.316%,-0.135,-26.471%
2880.HK,6/9/2017,11:02am,530000,1.35 - 1.37,1.37,0.01,+0.74%,-0.46,-24.93%
2882.HK,6/9/2017,11:09am,10148000,0.112 - 0.113,0.113,-0.003,-2.586%,-0.037,-24.667%
2883.HK,6/9/2017,11:09am,4733874,6.64 - 6.79,6.67,-0.15,-2.20%,-1.86,-21.81%
2886.HK,6/8/2017,3:54pm,8000,1.71 - 1.71,1.71,0.01,+0.59%,-0.54,-24.00%
2888.HK,6/9/2017,11:09am,135319,75.50 - 76.25,75.6,-0.75,-0.98%,-4.2,-5.26%
2889.HK,3/31/2015,3:59pm,0,,0.244,0.0,+0.000%,0.0,+0.000%
2898.HK,6/8/2017,9:59am,40000,0.370 - 0.385,0.385,0.0,+0.000%,-0.155,-28.704%
2899.HK,6/9/2017,11:05am,16753000,2.52 - 2.59,2.56,-0.03,-1.16%,-0.62,-19.50%
2957.HK,6/8/2017,11:31am,5000,0.315 - 0.315,0.315,0.0,+0.000%,-0.01,-3.077%
2961.HK,6/5/2017,3:59pm,4000,1.59 - 1.59,1.59,0.0,+0.00%,-0.35,-18.04%
2964.HK,6/8/2017,3:19pm,50000,1.15 - 1.15,1.15,-0.01,-0.86%,-0.07,-5.74%
2966.HK,6/8/2017,3:59pm,98326766,0.027 - 0.037,0.027,-0.004,-12.903%,-0.047,-63.514%
2967.HK,6/8/2017,3:16pm,5246000,0.01 - 0.01,0.01,0.0,+0.00%,-0.03,-75.00%
2968.HK,6/8/2017,3:41pm,24000,1.00 - 1.01,1.01,0.01,+1.00%,-0.94,-48.21%
2969.HK,6/9/2017,11:08am,952002,3.43 - 3.44,3.44,0.0,+0.00%,0.0,+0.00%
3300.HK,6/9/2017,10:57am,82000,0.74 - 0.75,0.74,-0.01,-1.33%,-0.49,-39.84%
3301.HK,6/9/2017,11:09am,903000,7.26 - 7.31,7.29,-0.03,-0.41%,-2.51,-25.61%
3303.HK,6/9/2017,11:08am,1550000,3.06 - 3.18,3.08,0.05,+1.65%,-0.31,-9.14%
