symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct,avg_vol
0001.HK,6/9/2017,4:08pm,10927973,99.00 - 100.50,100.0,-1.3,-1.28%,-3.9,-3.75%,4855830.0
0002.HK,6/9/2017,4:08pm,4595317,83.60 - 84.60,84.15,0.15,+0.18%,-1.35,-1.58%,2604830.0
0003.HK,6/9/2017,4:08pm,29035473,14.70 - 15.00,15.0,-0.06,-0.42%,-0.27,-1.79%,12111700.0
0004.HK,6/9/2017,4:08pm,5537491,68.80 - 70.65,69.55,-1.0,-1.42%,-2.2,-3.07%,4383550.0
0005.HK,6/9/2017,4:08pm,37982908,68.30 - 69.00,68.6,-0.4,-0.58%,-0.6,-0.87%,20411000.0
0006.HK,6/9/2017,4:08pm,4179701,69.90 - 70.65,70.45,-0.75,-1.05%,-7.5,-9.62%,3750390.0
0007.HK,6/9/2017,3:59pm,902000,0.91 - 0.94,0.93,0.0,+0.00%,-0.12,-11.43%,2576120.0
0008.HK,6/9/2017,4:08pm,7055421,4.43 - 4.48,4.44,-0.03,-0.67%,-1.33,-23.05%,10721700.0
0009.HK,6/9/2017,3:58pm,15144000,0.32 - 0.34,0.33,0.0,+0.00%,-0.25,-43.10%,11005900.0
0010.HK,6/9/2017,4:08pm,404693,33.30 - 34.40,33.8,0.05,+0.15%,-2.1,-5.85%,764909.0
0011.HK,6/9/2017,4:08pm,1341438,160.10 - 163.90,163.9,1.1,+0.68%,-2.0,-1.21%,852065.0
0012.HK,6/9/2017,4:08pm,4954667,45.50 - 46.50,46.0,-0.25,-0.54%,-1.91,-3.98%,3068730.0
0014.HK,6/9/2017,4:08pm,986987,37.45 - 38.00,38.0,0.0,+0.00%,-0.7,-1.81%,1076670.0
0015.HK,6/9/2017,3:57pm,226000,1.12 - 1.13,1.12,0.0,+0.00%,-0.48,-30.00%,799045.0
0016.HK,6/9/2017,4:08pm,4613631,119.70 - 123.00,121.5,-0.1,-0.08%,-2.6,-2.10%,3674370.0
0017.HK,6/9/2017,4:08pm,27326087,10.46 - 10.80,10.7,0.04,+0.38%,-0.24,-2.19%,14482000.0
0018.HK,6/9/2017,11:51am,74000,0.91 - 0.91,0.91,0.01,+1.11%,-0.12,-11.65%,255702.0
0019.HK,6/9/2017,4:08pm,2011105,78.25 - 79.25,79.0,-0.25,-0.32%,-15.4,-16.31%,1631660.0
0020.HK,6/9/2017,4:08pm,1108921,62.35 - 63.40,63.3,-0.1,-0.16%,-0.9,-1.40%,1167360.0
0021.HK,6/8/2017,3:57pm,850000,0.240 - 0.248,0.248,0.0,+0.000%,-0.102,-29.143%,133134.0
0022.HK,6/9/2017,3:07pm,260000,0.32 - 0.33,0.33,-0.0,-1.49%,-0.05,-14.29%,1273710.0
0023.HK,6/9/2017,4:08pm,3718137,32.85 - 33.80,33.8,0.8,+2.42%,-0.95,-2.73%,1136900.0
0024.HK,6/9/2017,3:59pm,12912000,0.199 - 0.212,0.207,0.009,+4.545%,-0.088,-29.831%,12851200.0
0025.HK,6/9/2017,3:48pm,81286,13.32 - 13.38,13.38,-0.02,-0.15%,-0.42,-3.04%,29978.0
0026.HK,6/9/2017,3:54pm,7000,106.50 - 107.00,106.7,0.6,+0.57%,-19.3,-15.32%,8185.0
0027.HK,6/9/2017,4:08pm,9847493,46.75 - 47.75,47.1,-0.35,-0.74%,-0.7,-1.46%,14483600.0
0028.HK,6/9/2017,3:59pm,516000,5.30 - 5.49,5.34,-0.06,-1.11%,-1.79,-25.11%,465212.0
0029.HK,6/9/2017,3:53pm,378240,7.69 - 8.22,7.95,0.36,+4.74%,-1.25,-13.59%,418205.0
0030.HK,6/9/2017,3:59pm,14206000,0.28 - 0.29,0.28,-0.01,-3.45%,-0.13,-32.53%,23311500.0
0031.HK,6/9/2017,3:59pm,4401654,1.00 - 1.02,1.02,0.0,+0.00%,-0.13,-11.30%,4892940.0
0032.HK,6/9/2017,3:21pm,2970,11.64 - 11.66,11.64,0.0,+0.00%,-0.36,-3.00%,82851.0
0033.HK,6/9/2017,3:59pm,43130000,0.094 - 0.104,0.095,-0.002,-2.062%,-0.154,-61.847%,31436700.0
0034.HK,6/9/2017,3:59pm,958000,8.74 - 8.83,8.83,0.09,+1.03%,-0.02,-0.23%,884882.0
0035.HK,6/9/2017,3:59pm,2402368,4.07 - 4.19,4.19,0.08,+1.95%,0.0,+0.00%,1428480.0
0036.HK,6/9/2017,3:56pm,159000,0.79 - 0.80,0.79,-0.01,-1.25%,-0.92,-53.80%,2005190.0
0037.HK,6/9/2017,3:04pm,786000,0.40 - 0.41,0.41,0.0,+0.00%,-0.14,-25.45%,320435.0
