,code,name,ss,trade
0,1,CHEUNG KONG      HKD ,5158692,589914908
1,2,CLP HOLDINGS     HKD  ,2270511,153595571
2,3,HK &amp; CHINA GAS   HKD  ,4439215,99592124
3,4,WHARF HOLDINGS   HKD  ,13029132,880155845
4,5,HSBC HOLDINGS    HKD  ,10260031,850204976
5,6,POWER ASSETS     HKD  ,1275972,91699362
6,7,HOIFU ENERGY     HKD   ,1796000,2079140
7,8,PCCW             HKD   ,4800954,17215984
8,9,CHEUNG WO IHL    HKD   ,5658000,3591600
9,10,HANG LUNG GROUP  HKD  ,531004,23658503
10,11,HANG SENG BANK   HKD ,729553,90926991
11,12,HENDERSON LAND   HKD  ,8487828,453018495
12,13,HUTCHISON        HKD  ,8152154,666792231
13,14,HYSAN DEV        HKD  ,1687268,65046193
14,15,VANTAGE INT'L    HKD   ,912000,595740
15,16,SHK PPT          HKD ,10388515,1105592192
16,17,NEW WORLD DEV    HKD  ,8028880,105331611
17,18,ORIENTAL PRESS   HKD   ,887200,812156
18,19,SWIRE PACIFIC A  HKD  ,1269000,124761768
19,20,WHEELOCK         HKD  ,2844800,115635520
20,21,GREAT CHI PPT    HKD   ,150000,60000
21,22,MEXAN            HKD   ,200000,28800
22,23,BANK OF E ASIA   HKD  ,1258333,38838098
23,24,BURWILL          HKD   ,318000,39972
24,25,CHEVALIER INT'L  HKD  ,43688,577839
25,26,CHINA MOTOR BUS  HKD  ,2000,143200
26,27,GALAXY ENT       HKD  ,12873063,423504030
27,28,TIAN AN          HKD   ,41000,204430
28,29,DYNAMIC HOLD     HKD   ,50000,126240
29,30,ABC COM (HOLD)   HKD   ,14142000,3773170
30,31,CHINA AEROSPACE  HKD   ,3437920,2653897
31,32,CROSS-HAR(HOLD)  HKD   ,127000,835490
32,33,HARMONIC STR     HKD   ,60716000,4340278
33,34,KOWLOON DEV      HKD  ,693201,7247658
34,35,FE CONSORT INTL  HKD   ,1685848,4264141
35,36,FE HLDGS INTL    HKD   ,1126911,309170
36,37,FE HOTELS        HKD   ,978000,178170
37,38,FIRST TRACTOR    HKD   ,480000,3444920
38,39,SINO DISTILL     HKD   ,804000,515460
39,40,GOLD PEAK        HKD   ,119000,104620
40,41,GREAT EAGLE H    HKD  ,917365,29069996
41,42,NE ELECTRIC      HKD   ,1030000,1118120
42,43,C.P. POKPHAND    HKD   ,1706000,1471060
43,44,HAECO            HKD ,18800,2081960
44,45,HK&amp;S HOTELS      HKD  ,442500,5969500
45,46,COMPUTER &amp; TECH  HKD   ,310000,554200
46,47,HOP HING GROUP   HKD   ,6732000,2338880
47,50,HK FERRY (HOLD)  HKD   ,58000,496190
48,51,HARBOUR CENTRE   HKD  ,97000,1537300
49,52,FAIRWOOD HOLD    HKD  ,53000,889910
50,53,GUOCO GROUP      HKD  ,81190,7664355
51,54,HOPEWELL HOLD    HKD  ,1205300,38052045
52,55,NEWAY GROUP      HKD   ,24940000,404250
53,56,ALLIED PPT (HK)  HKD   ,346000,406800
54,57,CHEN HSONG HOLD  HKD   ,68000,176060
55,59,SKYFAME REALTY   HKD   ,2000,1160
56,60,HK FOOD INV      HKD   ,14000,11060
57,61,NORTH ASIA RES   HKD   ,971000,339030
58,62,TRANSPORT INT'L  HKD  ,36000,632232
59,64,GET NICE         HKD   ,850000,303150
60,65,DETEAM CO LTD    HKD   ,3053536,2689160
61,66,MTR CORPORATION  HKD  ,1990320,61911223
62,67,LUMENA NEWMAT    HKD   ,15908000,27010920
63,69,SHANGRI-LA ASIA  HKD  ,7505968,116618293
64,70,NEPTUNE GROUP    HKD   ,7170000,1107690
65,71,MIRAMAR HOTEL    HKD  ,54000,611060
66,72,MODERN MEDIA     HKD   ,14000,33500
67,73,ASIAN CITRUS     HKD   ,1453428,6028653
68,74,GREAT WALL TECH  HKD   ,372000,534640
69,75,Y.T. REALTY      HKD   ,4000,9920
70,76,SOUTH SEA PETRO  HKD   ,49916600,3944075
71,77,AMS TRANSPORT    HKD   ,20000,30400
72,78,REGAL INT'L      HKD   ,622651,2338755
73,79,CENTURY LEGEND   HKD   ,360000,108000
74,80,CNEWECON FUND    HKD   ,10100000,5858000
75,81,CH OVS G OCEANS  HKD  ,3094396,31740593
76,82,VODONE           HKD   ,5636400,3237284
77,83,SINO LAND        HKD  ,3593854,47264137
78,84,STELUX HOLDINGS  HKD   ,804784,2319884
79,85,CHINA ELECTRON   HKD   ,338000,328680
80,86,SUN HUNG KAI CO  HKD   ,1017000,5455440
81,87,SWIRE PACIFIC B  HKD  ,246038,4601057
82,88,TAI CHEUNG HOLD  HKD   ,148000,910400
83,89,TAI SANG LAND    HKD   ,100000,378500
84,90,AMBER ENERGY     HKD   ,52000,42120
85,91,NEWSMART ENERGY  HKD   ,15750000,1115650
86,92,CHAMPION TECH    HKD   ,506087,59701
87,93,TERMBRAY IND     HKD   ,112000,115740
88,94,GREENHEART GP    HKD   ,624000,417160
89,97,HENDERSON INV    HKD   ,1847000,1126050
90,98,XINGFA ALUM      HKD   ,7000,11410
91,99,WONG'S INT'L     HKD   ,179000,452400
92,100,CLEAR MEDIA      HKD   ,551000,2946220
93,101,HANG LUNG PPT    HKD  ,6861853,198423623
94,102,SUMMIT ASCENT    HKD   ,1581472,6765008
95,103,SHOUGANG CENT    HKD   ,198000,58100
96,104,ASIA COMM HOLD   HKD   ,305000,70150
97,106,SHENZHEN HI-TEC  HKD   ,2204000,874980
98,107,SICHUAN EXPRESS  HKD   ,2654000,6709580
99,110,CHINA FORTUNE    HKD   ,1274000,331540
100,111,CINDA INTL HLDG  HKD   ,262000,253380
101,112,CHI CHEUNG       HKD   ,100000,284860
102,113,DICKSON CONCEPT  HKD   ,18500,81225
103,116,CHOW SANG SANG   HKD  ,703258,16179494
104,118,COSMOS MACH      HKD   ,112000,53940
105,119,POLY PROPERTY    HKD   ,21992000,109160405
106,120,COSMOPOL INT'L   HKD   ,560000,28000
107,121,C.P. LOTUS       HKD   ,1080000,251840
108,122,CROCODILE        HKD   ,683000,312500
109,123,YUEXIU PROPERTY  HKD   ,19708248,44428720
110,124,KINGWAY BREW     HKD   ,2084000,6495060
111,126,TAK SING ALLI    HKD   ,1138000,1350800
112,127,CHINESE EST H    HKD  ,242714,3014573
113,128,ENM HOLDINGS     HKD   ,568000,253700
114,129,ASIA STANDARD    HKD   ,382000,554480
115,130,MOISELLE INT'L   HKD   ,84000,136500
116,131,CHEUK NANG HOLD  HKD   ,104000,618200
117,132,CHINA INV HOLD   HKD   ,247000,63150
118,133,CHINA MERCHANTS  HKD  ,286000,3575440
119,135,KUNLUN ENERGY    HKD  ,13562000,225661688
120,136,MASCOTTE HOLD    HKD   ,15388000,1561748
121,137,JINHUI HOLDINGS  HKD   ,202000,340540
122,138,CCT TELECOM      HKD   ,27500,20750
123,141,GREAT CHINA      HKD   ,152000,240220
124,142,FIRST PACIFIC    HKD  ,6447222,67829528
125,143,GLOBAL TECH      HKD   ,606000,32010
126,144,CHINA MER HOLD   HKD  ,1946746,51567930
127,145,HK BLDG &amp; LOAN   HKD   ,24000,5520
128,147,CHAOYUE GROUP    HKD   ,225000,73100
129,148,KINGBOARD CHEM   HKD  ,1915500,42648675
130,149,CH AGRI-PROD EX  HKD   ,49131000,13454955
131,151,WANT WANT CHINA  HKD  ,15530911,184411323
132,152,SHENZHEN INT'L   HKD   ,38277500,36041162
133,154,BEIJING DEV(HK)  HKD   ,3503000,6803000
134,155,CHINA SOLAR      HKD   ,8430000,211020
135,156,LIPPO CHINA RES  HKD   ,2380000,529360
136,157,NATURAL BEAUTY   HKD   ,70000,47900
137,159,BROCKMAN MINING  HKD   ,101000,48450
138,160,HON KWOK LAND    HKD   ,58600,191860
139,161,AVIC IHL         HKD   ,84000,235080
140,162,CENTURY GINWA    HKD   ,9418250,18455417
141,163,EMPEROR IHL      HKD   ,1259905,2711974
142,164,CHINA GAMMA      HKD   ,6025000,700150
143,165,CHINA EB LTD     HKD  ,3264000,41911960
144,166,NEWTIMES ENERGY  HKD   ,1647100,1297375
145,168,TSINGTAO BREW    HKD  ,989300,47284075
146,171,SILVER GRANT     HKD   ,100000,130180
147,172,GOLDBOND GROUP   HKD   ,470000,132650
148,173,K. WAH INT'L     HKD   ,9378535,39703269
149,174,GEMINI INV       HKD   ,110605,135107
150,175,GEELY AUTO       HKD   ,69031587,269801627
151,176,UNITED PACIFIC   HKD   ,18118682,7087099
152,177,JIANGSU EXPRESS  HKD   ,4928000,37717613
153,178,SA SA INT'L      HKD   ,3786000,28545350
154,179,JOHNSON ELEC H   HKD   ,6697000,38907492
155,180,KADER HOLDINGS   HKD   ,98000,48380
156,182,CHINA WINDPOWER  HKD   ,7950000,2303100
157,183,RICHFIELD GP     HKD   ,6096000,1893760
158,184,KECK SENG INV    HKD   ,376000,1485020
159,185,XPRESS GROUP     HKD   ,2142000,841100
160,187,BEIREN PRINTING  HKD   ,1124000,3049560
161,188,SUNWAH KINGSWAY  HKD   ,610000,109800
162,189,DONGYUE GROUP    HKD   ,10188000,47285760
163,190,HKC (HOLDINGS)   HKD   ,141105971,34134020
164,191,LAI SUN INT'L    HKD   ,71000,114720
165,193,CAPITAL ESTATE   HKD   ,55000,9350
166,194,LIU CHONG HING   HKD  ,96000,1085640
167,195,L'SEA RESOURCES  HKD   ,6240000,2327300
168,196,HONGHUA GROUP    HKD   ,16677000,65870090
169,197,HENG TAI         HKD   ,3978541,668809
170,198,SMI CORP         HKD   ,4000625,680104
171,199,ITC PPT-1000     HKD   ,225080,741205
172,200,MELCO INT'L DEV  HKD  ,8911050,122649295
173,201,MAGNIFICENT      HKD   ,1826050,831832
174,202,INTERCHINA HOLD  HKD   ,1260000,518550
175,206,TSC GROUP        HKD   ,3762000,8619350
176,207,HK PARKVIEW      HKD   ,496000,1746160
177,208,POLYTEC ASSET    HKD   ,3915000,3909150
178,210,DAPHNE INT'L     HKD   ,702000,6882220
179,211,STYLAND HOLD     HKD   ,7890000,942050
180,212,NANYANG HOLD     HKD  ,1500,47250
181,213,NATIONAL ELEC H  HKD   ,65750,69467
182,215,HUTCHTEL HK      HKD   ,3130000,12252580
183,216,CHINNEY INV      HKD   ,100000,125000
184,217,CHINA CHENGTONG  HKD   ,142000,39050
185,218,SHENYIN WANGUO   HKD   ,540000,1464400
