,code,out_shares
0,1,2316164338
1,2,2526450570
2,3,8690609549
3,4,3029247327
4,5,18484651931
5,6,2134261654
6,7,1456843612
7,8,7272294654
8,9,776720096
9,10,1349593242
10,11,1911842736
11,12,2414842580
12,13,4263370780
13,14,1063487056
14,15,1511664400
15,16,2656929262
16,17,6263281514
17,18,2397917898
18,19,905578500
19,20,2031849287
20,21,1562770704
21,22,1310925244
22,23,2228213554
23,24,4189659685
24,25,281386811
25,26,45594656
26,27,4206341418
27,28,1506769491
28,29,219403681
29,30,1167797200
30,31,3085021882
31,32,372688206
32,33,1571850000
33,34,1150681275
34,35,1768909536
35,36,454256829
36,37,488842675
37,38,401990000
38,39,1195162397
39,40,784692952
40,41,631781610
41,42,257950000
42,43,18492200455
43,44,166324850
44,45,1502194391
45,46,245288198
46,47,9917752644
47,50,356273883
48,51,708750000
49,52,125177780
50,53,329051373
51,54,874952521
52,55,10193545600
53,56,6803920844
54,57,630531600
55,59,2216531175
56,60,259586000
57,61,1280053031
58,62,403639413
59,64,4473475959
60,65,955160765
61,66,5794807150
62,67,5593962007
63,69,3132162799
64,70,4616244500
65,71,577231252
66,72,437850000
67,73,1227721555
68,74,453872000
69,75,799557415
70,76,7994133744
71,77,266125000
72,78,964074333
73,79,297669597
74,80,303000000
75,81,2282239894
76,82,3149563262
77,83,5940216558
78,84,1046474025
79,85,1691560000
80,86,2139257354
81,87,2995220000
82,88,617531425
83,89,287669676
84,90,415000000
85,91,6638473206
86,92,6164075108
87,93,1957643050
88,94,789889104
89,97,3047327395
90,98,418000000
91,99,477483794
92,100,529000500
93,101,4476945045
94,102,309321459
95,103,1922900556
96,104,1366866440
97,106,1986606059
98,107,895320000
99,110,821663442
100,111,641205600
101,112,338765987
102,113,372311338
103,116,676920000
104,118,716930692
105,119,3608437046
106,120,11785130951
107,121,9797471070
108,122,935743695
109,123,9300093960
110,124,1711536850
111,126,1154031023
112,127,1907619079
113,128,1650658676
114,129,1236852853
115,130,287930000
116,131,441052321
117,132,1188329142
118,133,158343417
119,135,8051408303
120,136,1841460124
121,137,530289480
122,138,606144907
123,141,261684910
124,142,3825865827
125,143,5165973933
126,144,2491853388
127,145,435148866
128,147,18875948078
129,148,854666864
130,149,2460984135
131,151,13227739385
132,152,16449435564
133,154,854460150
134,155,14161461483
135,156,9186912716
136,157,2002100932
137,159,7894482131
138,160,480286201
139,161,277657999
140,162,1137676215
141,163,3666776192
142,164,3798681490
143,165,1720561712
144,166,760416087
145,168,655069178
146,171,2304849611
147,172,2745012843
148,173,2638242837
149,174,445500000
150,175,8262573934
151,176,993376993
152,177,1222000000
153,178,2826911396
154,179,3581756420
155,180,665411594
156,182,7393594965
157,183,3478500000
158,184,340200000
159,185,3528083872
160,187,100000000
