code,name,cur,pclose,ask,high,SH_TRADE,close,bid,low,turn
1,CHEUNG KONG     ,HKD,123.3,123.7,124.2,1746116.0,123.5,123.5,122.5,215754403.0
2,CLP HOLDINGS    ,HKD,62.0,61.85,62.2,4123012.0,61.85,61.8,61.8,255155180.0
3,HK &amp; CHINA GAS  ,HKD,18.2,18.18,18.32,6757180.0,18.14,18.12,18.1,123006815.0
4,WHARF HOLDINGS  ,HKD,69.5,69.55,70.15,3205759.0,69.45,69.4,68.95,222762352.0
5,HSBC HOLDINGS   ,HKD,85.05,85.55,85.75,9391831.0,85.5,85.5,85.35,803178320.0
6,POWER ASSETS    ,HKD,66.4,66.3,66.55,2193500.0,66.2,66.15,65.95,145351012.0
7,HOIFU ENERGY    ,HKD,1.48,1.47,1.49,4320000.0,1.47,1.46,1.46,6354340.0
8,PCCW            ,HKD,3.55,3.53,3.57,14544949.0,3.54,3.52,3.51,51376140.0
9,CHEUNG WO IHL   ,HKD,0.79,0.91,0.94,16271800.0,0.9,0.89,0.77,14324520.0
10,HANG LUNG GROUP ,HKD,41.25,41.25,41.45,159000.0,41.15,41.1,41.05,6572950.0
11,HANG SENG BANK  ,HKD,127.7,127.8,128.4,694390.0,127.8,127.7,126.0,88633466.0
12,HENDERSON LAND  ,HKD,46.5,46.35,46.6,1883344.0,46.25,46.25,45.9,87188409.0
13,HUTCHISON       ,HKD,95.75,97.45,97.75,9098213.0,97.4,97.4,95.4,883176352.0
14,HYSAN DEV       ,HKD,36.65,36.45,36.7,1155854.0,36.4,36.35,35.85,41997907.0
15,VANTAGE INT'L   ,HKD,0.69,0.7,0.7,362000.0,0.69,0.69,0.69,251260.0
16,SHK PPT         ,HKD,101.0,100.3,101.2,7292806.0,100.2,100.2,100.0,732507969.0
17,NEW WORLD DEV   ,HKD,10.98,10.96,10.98,9798101.0,10.92,10.92,10.88,107215639.0
18,ORIENTAL PRESS  ,HKD,0.91,0.91,0.91,212000.0,0.91,0.9,0.9,191200.0
19,SWIRE PACIFIC A ,HKD,90.45,91.2,91.85,2175853.0,91.05,91.0,90.4,198029518.0
20,WHEELOCK        ,HKD,39.25,40.4,40.4,1263041.0,40.3,40.3,39.35,50570337.0
21,GREAT CHI PPT   ,HKD,0.435,0.44,0.44,800000.0,0.435,0.43,0.43,347525.0
22,MEXAN           ,HKD,0.155,0.154,0.154,560000.0,0.154,0.152,0.15,85120.0
23,BANK OF E ASIA  ,HKD,33.0,32.8,33.05,1896870.0,32.8,32.7,32.6,62158616.0
24,BURWILL         ,HKD,0.35,0.34,0.375,124992000.0,0.335,0.335,0.335,43774590.0
25,CHEVALIER INT'L ,HKD,14.0,13.98,13.96,24000.0,13.9,13.9,13.76,332400.0
26,CHINA MOTOR BUS ,HKD,66.0,67.0,66.0,3800.0,66.0,65.4,66.0,250800.0
27,GALAXY ENT      ,HKD,62.55,59.8,61.9,19934929.0,59.75,59.75,59.75,1206231759.0
28,TIAN AN         ,HKD,6.2,6.25,6.25,206200.0,6.25,6.17,6.18,1254314.0
29,DYNAMIC HOLD    ,HKD,2.45,2.52,2.5,58000.0,2.5,2.5,2.49,144920.0
30,ABC COM (HOLD)  ,HKD,0.16,0.16,0.161,15582000.0,0.159,0.159,0.158,2482530.0
31,CHINA AEROSPACE ,HKD,0.94,0.93,0.94,8184006.0,0.93,0.92,0.92,7583485.0
32,CROSS-HAR(HOLD) ,HKD,6.29,6.29,6.32,130000.0,6.26,6.26,6.23,810420.0
33,HARMONIC STR    ,HKD,0.113,0.113,0.113,4066000.0,0.112,0.112,0.109,454726.0
34,KOWLOON DEV     ,HKD,9.72,9.69,9.81,486000.0,9.61,9.6,9.61,4710510.0
35,FE CONSORT INTL ,HKD,2.53,2.54,2.56,470000.0,2.54,2.53,2.53,1194290.0
36,FE HLDGS INTL   ,HKD,0.365,0.365,0.37,1500000.0,0.365,0.355,0.355,546900.0
37,FE HOTELS       ,HKD,0.21,0.208,0.205,56000.0,0.205,0.202,0.202,11468.0
38,FIRST TRACTOR   ,HKD,5.84,5.92,5.99,6908600.0,5.92,5.91,5.79,40906128.0
39,SINO DISTILL    ,HKD,0.475,0.47,0.48,1134000.0,0.47,0.46,0.455,525730.0
40,GOLD PEAK       ,HKD,0.87,0.88,0.88,96866.0,0.87,0.87,0.87,84267.0
41,GREAT EAGLE H   ,HKD,27.35,27.4,27.55,302345.0,27.35,27.35,27.35,8287883.0
42,NE ELECTRIC     ,HKD,0.92,0.92,0.92,436000.0,0.92,0.91,0.9,398380.0
43,C.P. POKPHAND   ,HKD,0.7,0.7,0.7,2760000.0,0.7,0.69,0.69,1919500.0
44,HAECO           ,HKD,102.7,102.5,103.0,30400.0,102.5,102.4,102.3,3117640.0
45,HK&amp;S HOTELS     ,HKD,12.86,13.0,13.06,16500.0,13.0,12.78,13.0,214780.0
46,COMPUTER &amp; TECH ,HKD,1.86,2.0,1.88,34000.0,1.88,1.86,1.86,63640.0
47,HOP HING GROUP  ,HKD,0.33,0.335,0.33,484000.0,0.33,0.33,0.33,159720.0
50,HK FERRY (HOLD) ,HKD,7.76,7.87,7.86,197488.0,7.86,7.83,7.79,1541432.0
51,HARBOUR CENTRE  ,HKD,14.28,14.36,14.36,65000.0,14.36,14.28,14.26,928880.0
52,FAIRWOOD HOLD   ,HKD,15.98,15.96,16.0,111000.0,15.9,15.88,15.9,1768811.0
53,GUOCO GROUP     ,HKD,95.8,95.8,95.8,7000.0,95.8,95.15,95.45,669150.0
54,HOPEWELL HOLD   ,HKD,26.5,26.5,26.55,4424500.0,26.45,26.45,26.3,116689300.0
55,NEWAY GROUP     ,HKD,0.19,0.196,0.199,11812000.0,0.195,0.194,0.19,2291168.0
57,CHEN HSONG HOLD ,HKD,2.44,2.46,2.48,124000.0,2.45,2.45,2.45,304840.0
59,SKYFAME REALTY  ,HKD,0.54,0.55,0.54,80000.0,0.54,0.53,0.54,43200.0
60,HK FOOD INV     ,HKD,0.89,0.89,0.0,0.0,0.89,0.84,0.0,0.0
61,NORTH ASIA RES  ,HKD,0.156,0.154,0.158,3650000.0,0.153,0.151,0.151,560090.0
62,TRANSPORT INT'L ,HKD,17.44,17.46,17.46,34800.0,17.46,17.42,17.26,605616.0
63,WINFOONG INT'L  ,HKD,0.094,0.097,0.095,650000.0,0.095,0.093,0.09,61000.0
64,GET NICE        ,HKD,0.36,0.36,0.36,10400000.0,0.355,0.355,0.355,3699170.0
65,DETEAM CO LTD   ,HKD,0.61,0.59,0.61,2285936.0,0.58,0.58,0.58,1342272.0
66,MTR CORPORATION ,HKD,30.0,30.05,30.15,1221344.0,30.0,29.95,29.85,36627270.0
67,LUMENA NEWMAT   ,HKD,1.53,1.52,1.54,12827518.0,1.52,1.51,1.51,19514492.0
68,LEE HING        ,HKD,6.06,6.1,0.0,0.0,6.06,6.05,0.0,0.0
69,SHANGRI-LA ASIA ,HKD,13.44,13.7,13.7,3604000.0,13.7,13.68,13.48,48873180.0
70,NEPTUNE GROUP   ,HKD,0.325,0.315,0.335,424235000.0,0.31,0.31,0.285,131715100.0
71,MIRAMAR HOTEL   ,HKD,10.04,10.04,10.08,110000.0,10.02,9.99,9.99,1099760.0
72,MODERN MEDIA    ,HKD,1.8,1.85,1.9,2000.0,1.85,1.81,1.9,3800.0
73,ASIAN CITRUS    ,HKD,2.81,2.84,2.85,1323183.0,2.84,2.82,2.81,3748992.0
75,Y.T. REALTY     ,HKD,2.37,2.4,0.0,0.0,2.37,2.28,0.0,0.0
76,SOUTH SEA PETRO ,HKD,0.066,0.067,0.067,48176077.0,0.066,0.066,0.065,3178332.0
77,AMS TRANSPORT   ,HKD,1.2,1.2,1.22,84000.0,1.2,1.18,1.2,101400.0
78,REGAL INT'L     ,HKD,4.22,4.23,4.23,794440.0,4.22,4.22,4.2,3345474.0
79,CENTURY LEGEND  ,HKD,0.445,0.44,0.44,588000.0,0.435,0.435,0.425,254880.0
