Date,Open,High,Low,Close,Adj Close,Volume
2012-06-04,2.680000,2.690000,2.590000,2.610000,2.610000,40306200
2012-06-05,2.640000,2.680000,2.580000,2.590000,2.590000,24295145
2012-06-06,2.640000,2.710000,2.620000,2.670000,2.670000,23592015
2012-06-07,2.760000,2.790000,2.640000,2.650000,2.650000,35025000
2012-06-08,2.690000,2.740000,2.620000,2.690000,2.690000,25046259
2012-06-11,2.760000,2.840000,2.750000,2.800000,2.800000,33344012
2012-06-12,2.750000,2.810000,2.740000,2.770000,2.770000,22679987
2012-06-13,2.780000,2.870000,2.750000,2.840000,2.840000,35437480
2012-06-14,2.800000,2.870000,2.740000,2.750000,2.750000,29500670
2012-06-15,2.780000,2.820000,2.760000,2.790000,2.790000,29060000
2012-06-18,2.840000,2.870000,2.810000,2.810000,2.810000,31474000
2012-06-19,2.800000,2.830000,2.760000,2.810000,2.810000,18182734
2012-06-20,2.850000,2.890000,2.830000,2.840000,2.840000,29847132
2012-06-21,2.880000,2.880000,2.760000,2.770000,2.770000,22938059
2012-06-22,2.700000,2.790000,2.700000,2.740000,2.740000,15003000
2012-06-25,2.750000,2.770000,2.680000,2.700000,2.700000,14717776
2012-06-26,2.680000,2.770000,2.660000,2.750000,2.750000,19235000
2012-06-27,2.730000,2.800000,2.720000,2.730000,2.730000,22453840
2012-06-28,2.750000,2.750000,2.660000,2.680000,2.680000,14087067
2012-06-29,2.690000,2.730000,2.670000,2.700000,2.700000,21213000
2012-07-03,2.700000,2.700000,2.550000,2.620000,2.620000,39713656
2012-07-04,2.650000,2.740000,2.610000,2.730000,2.730000,24788000
2012-07-05,2.710000,2.780000,2.700000,2.770000,2.770000,23495500
2012-07-06,2.740000,2.840000,2.740000,2.840000,2.840000,22895500
2012-07-09,2.790000,2.840000,2.760000,2.800000,2.800000,14185000
2012-07-10,2.790000,2.800000,2.720000,2.750000,2.750000,11550000
2012-07-11,2.750000,2.770000,2.720000,2.730000,2.730000,18790000
2012-07-12,2.710000,2.710000,2.620000,2.630000,2.630000,47848824
2012-07-13,2.610000,2.670000,2.600000,2.650000,2.650000,16517895
2012-07-16,2.700000,2.750000,2.630000,2.650000,2.650000,23104182
2012-07-17,2.650000,2.690000,2.610000,2.640000,2.640000,18388692
2012-07-18,2.660000,2.660000,2.580000,2.610000,2.610000,10702295
2012-07-19,2.630000,2.690000,2.600000,2.640000,2.640000,17387500
2012-07-20,2.640000,2.670000,2.620000,2.660000,2.660000,13608352
2012-07-23,2.610000,2.620000,2.570000,2.570000,2.570000,13765493
2012-07-24,2.570000,2.620000,2.560000,2.570000,2.570000,6045782
2012-07-25,2.540000,2.570000,2.500000,2.540000,2.540000,9389294
2012-07-26,2.540000,2.580000,2.490000,2.490000,2.490000,17425406
2012-07-27,2.530000,2.630000,2.520000,2.620000,2.620000,27315000
2012-07-30,2.650000,2.660000,2.550000,2.620000,2.620000,24843500
2012-07-31,2.620000,2.650000,2.550000,2.580000,2.580000,31717000
2012-08-01,2.580000,2.610000,2.550000,2.560000,2.560000,36114000
2012-08-02,2.550000,2.560000,2.470000,2.480000,2.480000,41256460
2012-08-03,2.460000,2.480000,2.350000,2.410000,2.410000,64483540
2012-08-06,2.450000,2.520000,2.430000,2.510000,2.510000,37338300
2012-08-07,2.520000,2.610000,2.520000,2.550000,2.550000,33820297
2012-08-08,2.570000,2.570000,2.480000,2.510000,2.510000,22245200
2012-08-09,2.530000,2.590000,2.500000,2.550000,2.550000,23939518
2012-08-10,2.550000,2.580000,2.530000,2.570000,2.570000,14705000
2012-08-13,2.560000,2.570000,2.510000,2.510000,2.510000,16859900
2012-08-14,2.510000,2.540000,2.480000,2.520000,2.520000,10394900
2012-08-15,2.510000,2.560000,2.490000,2.530000,2.530000,19486900
2012-08-16,2.530000,2.570000,2.490000,2.550000,2.550000,14831000
2012-08-17,2.550000,2.690000,2.550000,2.690000,2.690000,57135500
2012-08-20,2.700000,2.770000,2.680000,2.730000,2.730000,48778000
2012-08-21,2.750000,2.760000,2.690000,2.720000,2.720000,20048000
2012-08-22,2.700000,2.800000,2.540000,2.560000,2.560000,80762200
2012-08-23,2.570000,2.660000,2.570000,2.650000,2.650000,70073000
