code,mv,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5,pt_6,pt_7,pt_8,pt_9,pt_10,pt_11,pt_12,pt_13,pt_14,pt_15,pt_16,pt_17,pt_18,pt_19,avg
2196,4456.0,96.0,175.0,25.0,43.0,173.0,82.0,151.0,68.0,55.0,87.0,73.0,70.0,68.0,57.0,356.0,333.0,493.0,298.0,234.0,290.0,161.35
347,5581.0,160.0,280.0,122.0,66.0,169.0,336.0,196.0,202.0,159.0,110.0,117.0,90.0,139.0,233.0,145.0,101.0,172.0,194.0,129.0,80.0,160.0
763,9318.0,54.0,40.0,100.0,259.0,273.0,140.0,71.0,104.0,157.0,196.0,247.0,158.0,200.0,206.0,197.0,130.0,161.0,152.0,246.0,100.0,159.55
566,19743.0,73.0,250.0,82.0,146.0,96.0,273.0,229.0,256.0,221.0,224.0,209.0,121.0,77.0,185.0,131.0,75.0,124.0,153.0,158.0,100.0,159.15
777,8875.0,27.0,55.0,24.0,32.0,144.0,274.0,200.0,129.0,82.0,88.0,239.0,278.0,95.0,122.0,117.0,374.0,228.0,117.0,242.0,163.0,151.5
175,33877.0,26.0,34.0,29.0,68.0,82.0,46.0,56.0,103.0,136.0,88.0,196.0,118.0,80.0,922.0,110.0,272.0,118.0,82.0,210.0,168.0,147.2
2382,8850.0,39.0,32.0,41.0,1275.0,97.0,76.0,94.0,41.0,81.0,76.0,43.0,46.0,80.0,47.0,197.0,114.0,161.0,154.0,85.0,77.0,142.8
1898,20410.0,158.0,430.0,217.0,208.0,183.0,200.0,97.0,111.0,114.0,54.0,47.0,80.0,84.0,80.0,68.0,86.0,96.0,65.0,299.0,171.0,142.4
1171,15687.0,149.0,225.0,107.0,111.0,103.0,143.0,97.0,133.0,104.0,99.0,76.0,156.0,113.0,126.0,93.0,70.0,136.0,78.0,273.0,196.0,129.4
1818,5779.0,99.0,845.0,177.0,96.0,81.0,76.0,82.0,63.0,106.0,72.0,45.0,40.0,66.0,52.0,51.0,74.0,77.0,89.0,72.0,147.0,120.5
2866,8177.0,155.0,102.0,89.0,281.0,172.0,140.0,134.0,134.0,111.0,44.0,110.0,80.0,111.0,153.0,78.0,59.0,64.0,127.0,118.0,80.0,117.1
1138,5651.0,199.0,203.0,72.0,115.0,192.0,91.0,172.0,85.0,82.0,81.0,124.0,57.0,45.0,127.0,71.0,100.0,65.0,86.0,135.0,191.0,114.65
3888,21818.0,97.0,95.0,65.0,73.0,77.0,78.0,49.0,105.0,174.0,89.0,269.0,158.0,115.0,135.0,94.0,76.0,66.0,99.0,141.0,81.0,106.8
555,4484.0,85.0,104.0,80.0,87.0,93.0,129.0,345.0,69.0,215.0,46.0,130.0,154.0,140.0,94.0,78.0,67.0,74.0,38.0,30.0,39.0,104.85
493,16200.0,34.0,116.0,46.0,158.0,116.0,64.0,64.0,78.0,51.0,44.0,60.0,143.0,106.0,67.0,56.0,175.0,124.0,276.0,102.0,94.0,98.7
751,11547.0,116.0,299.0,154.0,101.0,62.0,52.0,61.0,34.0,73.0,51.0,150.0,56.0,69.0,59.0,159.0,145.0,77.0,77.0,47.0,56.0,94.9
2899,10995.0,83.0,662.0,175.0,78.0,57.0,43.0,38.0,55.0,146.0,70.0,71.0,82.0,58.0,29.0,45.0,42.0,37.0,26.0,22.0,54.0,93.65
3800,32812.0,63.0,65.0,78.0,52.0,41.0,125.0,47.0,111.0,257.0,122.0,55.0,122.0,100.0,123.0,101.0,58.0,117.0,96.0,38.0,97.0,93.4
958,7745.0,31.0,26.0,74.0,38.0,112.0,15.0,92.0,66.0,29.0,37.0,30.0,30.0,50.0,182.0,150.0,76.0,343.0,75.0,123.0,236.0,90.75
1117,13130.0,12.0,21.0,72.0,92.0,302.0,56.0,97.0,90.0,81.0,116.0,111.0,62.0,30.0,29.0,121.0,136.0,83.0,100.0,66.0,104.0,89.05
3337,9647.0,17.0,33.0,26.0,87.0,87.0,157.0,129.0,63.0,35.0,42.0,31.0,24.0,186.0,56.0,61.0,49.0,134.0,346.0,109.0,48.0,86.0
1157,9796.0,105.0,149.0,90.0,114.0,64.0,61.0,57.0,69.0,85.0,66.0,81.0,53.0,73.0,66.0,76.0,180.0,83.0,89.0,59.0,58.0,83.9
268,5769.0,41.0,105.0,36.0,56.0,23.0,39.0,30.0,28.0,49.0,28.0,95.0,277.0,160.0,75.0,110.0,71.0,76.0,197.0,118.0,54.0,83.4
2369,6455.0,22.0,45.0,52.0,104.0,178.0,167.0,115.0,44.0,54.0,117.0,113.0,75.0,128.0,79.0,85.0,46.0,54.0,60.0,55.0,43.0,81.8
1165,4680.0,60.0,72.0,33.0,80.0,31.0,22.0,17.0,54.0,17.0,12.0,13.0,30.0,31.0,186.0,201.0,148.0,93.0,139.0,180.0,138.0,77.85
750,4996.0,19.0,60.0,10.0,19.0,34.0,120.0,167.0,164.0,141.0,69.0,62.0,58.0,32.0,41.0,44.0,50.0,75.0,67.0,65.0,204.0,75.05
358,21700.0,75.0,151.0,67.0,59.0,96.0,103.0,59.0,48.0,167.0,44.0,68.0,69.0,88.0,70.0,50.0,65.0,60.0,75.0,43.0,30.0,74.35
1149,7749.0,14.0,39.0,28.0,64.0,73.0,41.0,108.0,43.0,59.0,54.0,90.0,55.0,33.0,29.0,407.0,94.0,63.0,30.0,59.0,61.0,72.2
1988,54602.0,88.0,102.0,59.0,81.0,78.0,110.0,99.0,80.0,66.0,40.0,45.0,53.0,58.0,41.0,50.0,82.0,58.0,73.0,83.0,92.0,71.9
579,4503.0,22.0,40.0,118.0,61.0,19.0,33.0,66.0,47.0,77.0,31.0,30.0,42.0,39.0,225.0,121.0,80.0,53.0,69.0,74.0,190.0,71.85
1051,4465.0,108.0,501.0,108.0,44.0,35.0,35.0,13.0,25.0,23.0,18.0,16.0,95.0,108.0,33.0,38.0,26.0,45.0,55.0,25.0,64.0,70.75
1071,4622.0,41.0,45.0,26.0,39.0,144.0,116.0,108.0,50.0,76.0,20.0,70.0,41.0,66.0,25.0,62.0,80.0,98.0,69.0,143.0,75.0,69.7
914,34374.0,50.0,108.0,45.0,54.0,48.0,74.0,72.0,126.0,56.0,40.0,52.0,29.0,91.0,75.0,55.0,94.0,114.0,89.0,82.0,32.0,69.3
3336,5187.0,34.0,78.0,26.0,42.0,54.0,43.0,48.0,47.0,56.0,71.0,35.0,56.0,65.0,90.0,53.0,231.0,99.0,180.0,41.0,31.0,69.0
1766,11618.0,44.0,94.0,45.0,112.0,62.0,68.0,45.0,54.0,44.0,34.0,46.0,58.0,63.0,53.0,28.0,64.0,256.0,48.0,52.0,72.0,67.1
