,code,name,ss,trade,vwap
0,1,CHEUNG KONG      HKD ,5158692,589914908,114.35358187695641
1,2,CLP HOLDINGS     HKD  ,2270511,153595571,67.648018882093055
2,3,HK &amp; CHINA GAS   HKD  ,4439215,99592124,22.434625040688498
3,4,WHARF HOLDINGS   HKD  ,13029132,880155845,67.552914883355243
4,5,HSBC HOLDINGS    HKD  ,10260031,850204976,82.86573169223368
5,6,POWER ASSETS     HKD  ,1275972,91699362,71.866280764781678
6,7,HOIFU ENERGY     HKD   ,1796000,2079140,1.1576503340757238
7,8,PCCW             HKD   ,4800954,17215984,3.5859506256464861
8,9,CHEUNG WO IHL    HKD   ,5658000,3591600,0.63478260869565217
9,10,HANG LUNG GROUP  HKD  ,531004,23658503,44.554283960196159
10,11,HANG SENG BANK   HKD ,729553,90926991,124.6338388026641
11,12,HENDERSON LAND   HKD  ,8487828,453018495,53.372723269133161
12,13,HUTCHISON        HKD  ,8152154,666792231,81.793380129963197
13,14,HYSAN DEV        HKD  ,1687268,65046193,38.551192223167867
14,15,VANTAGE INT'L    HKD   ,912000,595740,0.65322368421052635
15,16,SHK PPT          HKD ,10388515,1105592192,106.42446894479144
16,17,NEW WORLD DEV    HKD  ,8028880,105331611,13.119091454847998
17,18,ORIENTAL PRESS   HKD   ,887200,812156,0.91541478809738508
18,19,SWIRE PACIFIC A  HKD  ,1269000,124761768,98.315026004728139
19,20,WHEELOCK         HKD  ,2844800,115635520,40.648031496062991
20,21,GREAT CHI PPT    HKD   ,150000,60000,0.40000000000000002
21,22,MEXAN            HKD   ,200000,28800,0.14399999999999999
22,23,BANK OF E ASIA   HKD  ,1258333,38838098,30.864721818469356
23,24,BURWILL          HKD   ,318000,39972,0.12569811320754717
24,25,CHEVALIER INT'L  HKD  ,43688,577839,13.22649240065922
25,26,CHINA MOTOR BUS  HKD  ,2000,143200,71.599999999999994
26,27,GALAXY ENT       HKD  ,12873063,423504030,32.898466355676192
27,28,TIAN AN          HKD   ,41000,204430,4.98609756097561
28,29,DYNAMIC HOLD     HKD   ,50000,126240,2.5247999999999999
29,30,ABC COM (HOLD)   HKD   ,14142000,3773170,0.26680596803846696
30,31,CHINA AEROSPACE  HKD   ,3437920,2653897,0.77194844557174103
31,32,CROSS-HAR(HOLD)  HKD   ,127000,835490,6.5786614173228344
32,33,HARMONIC STR     HKD   ,60716000,4340278,0.071484913367151987
33,34,KOWLOON DEV      HKD  ,693201,7247658,10.455348448718338
34,35,FE CONSORT INTL  HKD   ,1685848,4264141,2.5293745343589693
35,36,FE HLDGS INTL    HKD   ,1126911,309170,0.27435174561256392
36,37,FE HOTELS        HKD   ,978000,178170,0.18217791411042944
37,38,FIRST TRACTOR    HKD   ,480000,3444920,7.1769166666666671
38,39,SINO DISTILL     HKD   ,804000,515460,0.64111940298507464
39,40,GOLD PEAK        HKD   ,119000,104620,0.87915966386554623
40,41,GREAT EAGLE H    HKD  ,917365,29069996,31.688581971189222
41,42,NE ELECTRIC      HKD   ,1030000,1118120,1.0855533980582524
42,43,C.P. POKPHAND    HKD   ,1706000,1471060,0.86228604923798358
43,44,HAECO            HKD ,18800,2081960,110.74255319148936
44,45,HK&amp;S HOTELS      HKD  ,442500,5969500,13.490395480225988
45,46,COMPUTER &amp; TECH  HKD   ,310000,554200,1.7877419354838711
46,47,HOP HING GROUP   HKD   ,6732000,2338880,0.34742721330956627
47,50,HK FERRY (HOLD)  HKD   ,58000,496190,8.5549999999999997
48,51,HARBOUR CENTRE   HKD  ,97000,1537300,15.848453608247423
49,52,FAIRWOOD HOLD    HKD  ,53000,889910,16.790754716981134
50,53,GUOCO GROUP      HKD  ,81190,7664355,94.400234018967851
51,54,HOPEWELL HOLD    HKD  ,1205300,38052045,31.57060068032855
52,55,NEWAY GROUP      HKD   ,24940000,404250,0.016208901363271851
